 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,8251,188.840,92.897,0,0,255,268.500,47.500,265.318,48.550,243
2,13570,225.937,45.413,255,28,255,807,21.500,805.789,21.608,243
3,15340,106.471,32.985,86,11,233,811,66,819.132,66.076,87
4,200450,174.943,81.161,55,0,255,634,193.500,720.762,193.921,213
5,7613,219.186,59.190,255,0,255,330.500,327.500,329.561,327.816,251
6,86574,217.378,57.634,255,4,255,488,498.500,509.298,498.447,250
7,44030,245.457,27.611,255,72,255,978,408.500,978.806,408.894,255
8,85910,212.567,74.853,255,0,255,482.500,673,522.789,672.190,255
9,85484,222.786,57.849,255,0,255,482,843,507.035,843.600,254
10,53256,193.622,94.114,255,0,255,498,982,554.931,980.041,252
