 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,26796,187.538,66.851,236,74,255,312,61.500,310.394,60.856,232
2,57900,224.681,56.827,255,68,255,537,166.500,535.953,165.403,254
3,60264,228.956,60.552,255,0,255,271.500,357,272.270,358.345,255
4,53361,231.807,53.356,255,0,255,511.500,353.500,513.587,355.186,255
5,49950,233.530,56.219,255,0,255,754.500,350,755.318,350.978,255
6,51300,213.148,75.373,255,0,255,998.500,349,1003.164,348.152,254
7,8112,224.145,32.413,236,88,255,215,625,215.752,625.596,235
8,4350,219.075,37.259,236,91,255,359,621.500,359.387,621.234,234
9,8023,225.162,31.470,237,85,255,538.500,622.500,539.527,622.183,235
10,4368,186.461,54.460,236,74,254,695,598.500,695.456,599.145,221
11,4290,205.958,50.403,236,35,253,865,595.500,865.877,595.478,232
12,10138,223.389,33.648,236,85,255,1032.500,620,1033.510,620.267,235
